# MEMBRES DE LA FAMILLE : 

夫,おっと,Mon époux,👨‍👩‍👦‍👦
妻,つま,Mon épouse,👩‍👩‍👦‍👦
父,ちち,Mon père,👨
母,はは,Ma mère,👩
子供,こども,Mon enfant,🧒
祖父母,そふぼ,Mes grands parents,👵👴
祖父,そふ,Mon grand père,👴
祖母,そぼ,Ma grand mère,👵
兄,あに,Mon grand frère,👨‍🦱
弟,おとうと,Mon petit frère,👦
姉,あね,Ma grande soeur,👩‍🦱
妹,いもうと,Ma petite soeur,👧

# 両親,りょうしん,Mes parents,👪
# 息子,むすこ,Mon fils,👦
# 娘,むすめ,Ma fille,👧
# 孫,まご,Mon petit enfant,👶
# 双子,ふたご,Mon jumeau/Ma jumelle,👯
# 兄弟,きょうだい,La fraterie,👨‍👩‍👦
# 従兄弟/従姉妹,いとこ,Mon cousin/cousine,🧑‍🤝‍🧑
# 叔父,おじ,Mon oncle ainé,👨‍🦳
# 叔父,おじ,Mon oncle cadet,👨‍🦳
# 叔母,おば,Ma tante ainée,👩‍🦳
# 叔母,おば,Ma tante cadette,👩‍🦳
# 義兄,ぎけい,Mon beau frère ainé,👨‍🦱
# 義弟,ぎてい,Mon beau frère cadet,👦
# 義姉,ぎし,Ma belle soeur ainée,👩‍🦱
# 義妹,ぎまい,Ma belle soeur cadette,👧


